año,mes,cantidad
2015,Enero,-1.90
2015,Enero,-1.90
2015,Enero,-1.90
2015,Febrero,-1.70
2015,Febrero,-1.70
2015,Marzo,-1.40
2015,Marzo,-1.40
2015,Abril,5.40
2015,Abril,5.40
2015,Mayo,7.20
2015,Mayo,7.20
2015,Junio,6.50
2015,Junio,6.50
2015,Julio,2.40
2015,Julio,2.40
2015,Agosto,2.70
2015,Agosto,2.70
2015,Septiembre,7.20
2015,Septiembre,7.20
2015,Octubre,5.10
2015,Octubre,5.10
2015,Noviembre,4.70
2015,Noviembre,4.70
2015,Diciembre,-2.90
2015,Diciembre,-2.90
2016,Enero,-2.60
2016,Enero,-2.60
2016,Febrero,-1.80
2016,Febrero,-1.80
2016,Marzo,0.80
2016,Marzo,0.80
2016,Abril,-17.40
2016,Abril,-17.40
2016,Mayo,-19.10
2016,Mayo,-19.10
2016,Junio,-17.70
2016,Junio,-17.70
2016,Julio,-14.10
2016,Julio,-14.10
2016,Agosto,-5.30
2016,Agosto,-5.30
2016,Septiembre,-6.50
2016,Septiembre,-6.50
2016,Octubre,-7.60
2016,Octubre,-7.60
2016,Noviembre,-5.80
2016,Noviembre,-5.80
2016,Diciembre,-3.40
2016,Diciembre,-3.40
2017,Enero,-5.90
2017,Enero,-5.90
2017,Febrero,-8.10
2017,Febrero,-8.10
2017,Marzo,-6.10
2017,Marzo,-6.10
2017,Abril,4.90
2017,Abril,4.90
2017,Mayo,4.10
2017,Mayo,4.10
2017,Junio,4.00
2017,Junio,4.00
2017,Julio,2.80
2017,Julio,2.80
2017,Agosto,-2.40
2017,Agosto,-2.40
2017,Septiembre,-1.80
2017,Septiembre,-1.80
