codigo_bapin_id,codigo_bapin_desc,ultima_actualizacion_fecha
0,El Organismo no carga BAPIN,Última actualización del ejercicio 2022: 02 Julio 2023.
30003,"Mantenimiento por Transferencia de Funciones Operativas RNNº 242-40, Convenio Nº 13. Secciones: Catan Lil - Lte.c/Mendoza / Las Lajas - Lte.c/Chile. Neuquén.",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
30131,Rehabilitación y Mantenimiento de la Malla 117 B en la RNNº 35 y RNNº 188. Tramo: Emp. RPNº 10 - Lte. C/Córdoba / Emp. RNNº 35 - Acc. Quetrequén. Provincia de La Pampa.,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
30250,Perforación de yacimientos de uranio - Cerro Solo - Provincia de Chubut,Última actualización del ejercicio 2025: 26 Marzo 2025.
30251,Construcción de reactores de baja potencia CAREM Fase 2 - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
30256,Tratamiento colas de mineral de uranio - Malargüe - Provincia de Mendoza,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
30610,Ampliación del Subsistema de Comunicaciones Fijas del Ejército (SUCOFE).,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
30865,"DISEÑO, CONSTRUCCIÓN, LANZAMIENTO Y OPERACIÓN DE DOS SATÉLITES DE ÓRBITA POLAR. MISIÓN SAOCOM 1 A/B -",Última actualización del ejercicio 2025: 26 Marzo 2025.
31030,"Construcción de Autopista en Variante RN N° 158, Tramo: RN N°9 - R.P. N°2, Sección: Intercambiador con AU0009 - Intercambiador RP N°2, Provincia: Córdoba",Última actualización del ejercicio 2025: 26 Marzo 2025.
32050,Tratamiento colas de mineral - Complejo Fabril Córdoba,Última actualización del ejercicio 2025: 26 Marzo 2025.
32051,Tratamiento colas de mineral - yacimiento Los Gigantes - Provincia de Córdoba,Última actualización del ejercicio 2025: 26 Marzo 2025.
32064,CONSTRUCCIÓN DEL COMPLEJO PENITENCIARIO FEDERAL DE CONDENADOS-AGOTE I - MERCEDES- BUENOS AIRES-ETAPA 1,Última actualización del ejercicio 2025: 26 Marzo 2025.
32241,CONSTRUCCION CENTRO PENITENCIARIO FEDERAL DEL LITORAL - CORONDA - SANTA FE,Última actualización del ejercicio 2025: 26 Marzo 2025.
35947,Adecuación de instalaciones nucleares para investigación en radioterapia por captura neutrónica - Provincia de Buenos Aires y Río Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
35969,Construcción de la RNNº 60 - Tramo: Emp. RNNº 9 - Lte.c/Catamarca. Córdoba.,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
36014,Prospección y exploración uranifera del noroeste argentino - Provincia de Catamarca,Última actualización del ejercicio 2025: 26 Marzo 2025.
36080,Construcción de cortafuegos en el Centro Atómico Ezeiza - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
36198,Desarrollo de un acelerador para la terapia por captura neutrónica - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
36239,Fabricación de componentes estructurales base circonio para reactores nucleares de potencia - Provincia de Buenos Aires y Córdoba,Última actualización del ejercicio 2025: 26 Marzo 2025.
36338,Ampliación de la utilización y producción del reactor RA-3 - Centro Atómico Ezeiza - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
36539,REFUNCIONALIZACION PASO FRONTERIZO - PUERTO PILCOMAYO - FORMOSA - OBRAS DE MODERNIZACIÓN,Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
37381,"Construcción. RNNº 260, Tramo: Emp. RPNº 51 - Límite con Chile, Secc I : Prog. 0,00 - Prog. 23,21. Provincia de Chubut.",Última actualización del ejercicio 2024: 27 Diciembre 2024.Los datos consignados son provisorios hasta tanto se produzcan los cierres de cuenta y eventuales ajustes correspondientes al ejercicio 2024.
38132,Readecuación de la planta de producción de radiofármacos del Centro Atómico Ezeiza - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
38805,"Adquisición de equipos, activos intangibles y desarrollo de actividades necesarias para la Gestión de residuos en disposición transitoria - CMFSR (Ex-Remediación Ambiental de los Pasivos de Agua de Cantera y Residuos Sólidos CMF - San Rafael) - Provincia de Mendoza",Última actualización del ejercicio 2025: 26 Marzo 2025.
39484,Mejoras en infraestructura y equipamiento para la Puesta en marcha y operación de módulo para enriquecimiento de uranio - Provincia de Rio Negro,Última actualización del ejercicio 2025: 26 Marzo 2025.
40929,Mejoramiento y ampliación del laboratorio de procesos por radiación del Centro Atómico Ezeiza - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
41060,Renovación del equipamiento e instalaciones de seguridad para emergencias del Centro Atómico Ezeiza - Provincia de Buenos Aires,Última actualización del ejercicio 2025: 26 Marzo 2025.
41062,Exploración y evaluación del yacimiento de uranio Don Otto y alrededores - Provincia de Salta,Última actualización del ejercicio 2025: 26 Marzo 2025.
